FECHA,CASOS.NUEVOS.PCR.,POSITIVOS_LI,POSITIVOS_LS
2020-02-29,1,NA,NA
2020-03-01,0,NA,NA
2020-03-02,9,NA,NA
2020-03-03,0,NA,NA
2020-03-04,0,NA,NA
2020-03-05,0,NA,NA
2020-03-06,1,NA,NA
2020-03-07,1,NA,NA
2020-03-08,0,NA,NA
2020-03-09,0,NA,NA
2020-03-10,0,NA,NA
2020-03-11,0,NA,NA
2020-03-12,8,NA,NA
2020-03-13,12,NA,NA
2020-03-14,17,NA,NA
2020-03-15,9,NA,NA
2020-03-16,3,NA,NA
2020-03-17,17,NA,NA
2020-03-18,36,NA,NA
2020-03-19,55,NA,NA
2020-03-20,59,NA,NA
2020-03-21,68,NA,NA
2020-03-22,72,NA,NA
2020-03-23,76,NA,NA
2020-03-24,88,NA,NA
2020-03-25,180,NA,NA
2020-03-26,143,NA,NA
2020-03-27,98,NA,NA
2020-03-28,85,NA,NA
2020-03-29,87,NA,NA
2020-03-30,58,NA,NA
2020-03-31,57,NA,NA
2020-04-01,38,NA,NA
2020-04-02,73,NA,NA
2020-04-03,69,NA,NA
2020-04-04,40,NA,NA
2020-04-05,28,NA,NA
2020-04-06,31,NA,NA
2020-04-07,70,NA,NA
2020-04-08,52,NA,NA
2020-04-09,34,NA,NA
2020-04-10,63,NA,NA
2020-04-11,24,NA,NA
2020-04-12,27,NA,NA
2020-04-13,13,NA,NA
2020-04-14,25,NA,NA
2020-04-15,24,NA,NA
2020-04-16,31,NA,NA
2020-04-17,24,NA,NA
2020-04-18,46,NA,NA
2020-04-19,33,NA,NA
2020-04-20,13,NA,NA
2020-04-21,17,NA,NA
2020-04-22,18,NA,NA
2020-04-23,26,NA,NA
2020-04-24,13,NA,NA
2020-04-25,15,NA,NA
2020-04-26,23,NA,NA
2020-04-27,10,NA,NA
2020-04-28,26,NA,NA
2020-04-29,26,NA,NA
2020-04-30,13,NA,NA
2020-05-01,13,NA,NA
2020-05-02,4,NA,NA
2020-05-03,2,NA,NA
2020-05-04,4,NA,NA
2020-05-05,4,NA,NA
2020-05-06,12,NA,NA
2020-05-07,16,NA,NA
2020-05-08,0,NA,NA
2020-05-09,3,NA,NA
2020-05-10,1,NA,NA
2020-05-11,5,NA,NA
2020-05-12,6,NA,NA
2020-05-13,2,NA,NA
2020-05-14,5,NA,NA
2020-05-15,2,NA,NA
2020-05-16,3,NA,NA
2020-05-17,3,NA,NA
2020-05-18,2,NA,NA
2020-05-19,4,NA,NA
2020-05-20,2,NA,NA
2020-05-21,5,NA,NA
2020-05-22,3,NA,NA
2020-05-23,2,NA,NA
2020-05-24,0,NA,NA
2020-05-25,4,NA,NA
2020-05-26,2,NA,NA
2020-05-27,7,NA,NA
2020-05-28,1,NA,NA
2020-05-29,3,NA,NA
2020-05-30,2,NA,NA
2020-05-31,0,NA,NA
2020-06-01,2,NA,NA
2020-06-02,2,NA,NA
2020-06-03,0,NA,NA
2020-06-04,4,NA,NA
2020-06-05,1,NA,NA
2020-06-06,0,NA,NA
2020-06-07,2,NA,NA
2020-06-08,1,NA,NA
2020-06-09,0,NA,NA
2020-06-10,3,NA,NA
2020-06-11,3,NA,NA
2020-06-12,2,NA,NA
2020-06-13,2,NA,NA
2020-06-14,0,NA,NA
2020-06-15,1,NA,NA
2020-06-16,2,NA,NA
2020-06-17,3,NA,NA
2020-06-18,0,NA,NA
2020-06-19,1,NA,NA
2020-06-20,1,NA,NA
2020-06-21,5,NA,NA
2020-06-22,0,NA,NA
2020-06-23,2,NA,NA
2020-06-24,0,NA,NA
2020-06-25,3,NA,NA
2020-06-26,2,NA,NA
2020-06-27,6,NA,NA
2020-06-28,0,NA,NA
2020-06-29,0,NA,NA
2020-06-30,1,NA,NA
2020-07-01,1,NA,NA
2020-07-02,0,NA,NA
2020-07-03,3,NA,NA
2020-07-04,1,NA,NA
2020-07-05,0,NA,NA
2020-07-06,0,NA,NA
2020-07-07,1,NA,NA
2020-07-08,0,NA,NA
2020-07-09,0,NA,NA
2020-07-10,2,NA,NA
2020-07-11,2,NA,NA
2020-07-12,2,NA,NA
2020-07-13,1,NA,NA
2020-07-14,3,NA,NA
2020-07-15,2,NA,NA
2020-07-16,1,NA,NA
2020-07-17,2,NA,NA
2020-07-18,8,NA,NA
2020-07-19,12,NA,NA
2020-07-20,2,NA,NA
2020-07-21,1,NA,NA
2020-07-22,4,NA,NA
2020-07-23,9,NA,NA
2020-07-24,6,NA,NA
2020-07-25,6,NA,NA
2020-07-26,5,NA,NA
2020-07-27,11,NA,NA
2020-07-28,1,NA,NA
2020-07-29,7,NA,NA
2020-07-30,14,NA,NA
2020-07-31,17,NA,NA
2020-08-01,24,NA,NA
2020-08-02,22,NA,NA
2020-08-03,35,NA,NA
2020-08-04,37,NA,NA
2020-08-05,19,NA,NA
2020-08-06,30,NA,NA
2020-08-07,32,NA,NA
2020-08-08,32,NA,NA
2020-08-09,29,NA,NA
2020-08-10,13,NA,NA
2020-08-11,65,NA,NA
2020-08-12,44,NA,NA
2020-08-13,61,NA,NA
2020-08-14,74,NA,NA
2020-08-15,60,NA,NA
2020-08-16,48,NA,NA
2020-08-17,19,NA,NA
2020-08-18,53,NA,NA
2020-08-19,49,NA,NA
2020-08-20,76,NA,NA
2020-08-21,91,NA,NA
2020-08-22,74,NA,NA
2020-08-23,37,NA,NA
2020-08-24,51,NA,NA
2020-08-25,81,NA,NA
2020-08-26,90,NA,NA
2020-08-27,89,NA,NA
2020-08-28,124,NA,NA
2020-08-29,114,NA,NA
2020-08-30,68,NA,NA
2020-08-31,62,NA,NA
2020-09-01,114,NA,NA
2020-09-02,100,NA,NA
2020-09-03,136,NA,NA
2020-09-04,116,NA,NA
2020-09-05,116,NA,NA
2020-09-06,60,NA,NA
2020-09-07,80,NA,NA
2020-09-08,105,NA,NA
2020-09-09,172,NA,NA
2020-09-10,149,NA,NA
2020-09-11,113,NA,NA
2020-09-12,116,NA,NA
2020-09-13,99,NA,NA
2020-09-14,76,NA,NA
2020-09-15,78,NA,NA
2020-09-16,112,NA,NA
2020-09-17,53,NA,NA
2020-09-18,107,NA,NA
2020-09-19,56,NA,NA
2020-09-20,49,NA,NA
2020-09-21,46,NA,NA
2020-09-22,65,NA,NA
2020-09-23,57,NA,NA
2020-09-24,46,NA,NA
2020-09-25,52,NA,NA
2020-09-26,55,NA,NA
2020-09-27,25,NA,NA
2020-09-28,73,NA,NA
