Date;Mean(R);Std(R);Quantile.0.025(R);Median(R);Quantile.0.975(R)
03/03/2020;1,63;0,47;0,84;1,58;2,67
04/03/2020;1,43;0,41;0,74;1,39;2,34
05/03/2020;0,33;0,19;0,07;0,29;0,78
06/03/2020;0,32;0,19;0,07;0,29;0,78
07/03/2020;0,37;0,21;0,08;0,33;0,89
08/03/2020;1,63;0,49;0,81;1,58;2,72
09/03/2020;3,66;0,78;2,29;3,60;5,34
10/03/2020;5,34;0,87;3,78;5,29;7,16
11/03/2020;4,37;0,64;3,21;4,34;5,70
12/03/2020;2,96;0,42;2,20;2,94;3,84
13/03/2020;2,80;0,34;2,17;2,79;3,51
14/03/2020;3,28;0,32;2,68;3,27;3,95
15/03/2020;3,60;0,29;3,05;3,59;4,20
16/03/2020;3,41;0,24;2,95;3,40;3,90
17/03/2020;3,06;0,19;2,69;3,06;3,45
18/03/2020;2,81;0,16;2,50;2,81;3,13
19/03/2020;2,62;0,13;2,36;2,61;2,88
20/03/2020;2,40;0,11;2,18;2,39;2,62
21/03/2020;2,49;0,10;2,30;2,49;2,70
22/03/2020;2,29;0,09;2,12;2,29;2,46
23/03/2020;1,94;0,07;1,80;1,94;2,08
24/03/2020;1,64;0,06;1,52;1,64;1,76
25/03/2020;1,44;0,05;1,34;1,44;1,55
26/03/2020;1,26;0,05;1,18;1,26;1,36
27/03/2020;1,12;0,04;1,04;1,12;1,21
28/03/2020;0,85;0,04;0,79;0,85;0,93
29/03/2020;0,74;0,03;0,67;0,74;0,80
30/03/2020;0,72;0,03;0,65;0,71;0,78
31/03/2020;0,68;0,03;0,62;0,68;0,75
01/04/2020;0,63;0,03;0,56;0,63;0,69
02/04/2020;0,63;0,03;0,56;0,63;0,70
03/04/2020;0,72;0,04;0,64;0,72;0,79
04/04/2020;0,83;0,04;0,75;0,83;0,91
05/04/2020;0,80;0,04;0,72;0,80;0,88
06/04/2020;0,83;0,05;0,75;0,83;0,93
07/04/2020;0,84;0,05;0,75;0,84;0,93
08/04/2020;0,92;0,05;0,83;0,92;1,02
09/04/2020;0,90;0,05;0,80;0,90;1,00
10/04/2020;0,81;0,05;0,72;0,81;0,90
11/04/2020;0,73;0,05;0,64;0,73;0,82
12/04/2020;0,83;0,05;0,74;0,83;0,93
13/04/2020;0,78;0,05;0,69;0,78;0,88
14/04/2020;0,90;0,06;0,80;0,90;1,01
15/04/2020;0,92;0,06;0,81;0,92;1,03
16/04/2020;1,01;0,06;0,89;1,01;1,13
17/04/2020;1,05;0,06;0,93;1,05;1,17
18/04/2020;1,15;0,06;1,03;1,15;1,28
19/04/2020;1,15;0,06;1,03;1,15;1,28
20/04/2020;1,12;0,06;1,00;1,12;1,24
21/04/2020;0,97;0,06;0,86;0,96;1,08
22/04/2020;0,89;0,05;0,79;0,89;1,00
23/04/2020;0,92;0,06;0,82;0,92;1,04
24/04/2020;0,98;0,06;0,87;0,98;1,10
25/04/2020;1,04;0,06;0,92;1,04;1,16
26/04/2020;0,98;0,06;0,87;0,98;1,10
27/04/2020;0,95;0,06;0,84;0,94;1,06
28/04/2020;0,92;0,06;0,81;0,91;1,03
29/04/2020;0,85;0,06;0,75;0,85;0,96
30/04/2020;0,77;0,05;0,67;0,77;0,88
01/05/2020;0,71;0,05;0,62;0,71;0,82
02/05/2020;0,55;0,05;0,46;0,55;0,64
03/05/2020;0,53;0,05;0,45;0,53;0,63
04/05/2020;0,49;0,05;0,40;0,49;0,59
05/05/2020;0,53;0,05;0,43;0,53;0,64
06/05/2020;0,60;0,06;0,48;0,59;0,72
07/05/2020;0,70;0,07;0,58;0,70;0,85
08/05/2020;0,72;0,07;0,58;0,71;0,87
09/05/2020;0,73;0,08;0,58;0,72;0,89
10/05/2020;0,67;0,08;0,53;0,66;0,82
11/05/2020;0,74;0,08;0,58;0,73;0,91
12/05/2020;0,79;0,09;0,63;0,79;0,98
13/05/2020;0,86;0,10;0,69;0,86;1,06
14/05/2020;0,81;0,10;0,63;0,80;1,00
15/05/2020;0,68;0,09;0,51;0,67;0,86
16/05/2020;0,71;0,09;0,54;0,71;0,91
17/05/2020;0,57;0,09;0,41;0,56;0,75
18/05/2020;0,60;0,09;0,43;0,59;0,79
19/05/2020;0,65;0,10;0,46;0,64;0,86
20/05/2020;0,66;0,11;0,47;0,65;0,89
21/05/2020;0,70;0,12;0,50;0,70;0,95
22/05/2020;0,72;0,12;0,50;0,72;0,98
23/05/2020;0,89;0,14;0,64;0,88;1,19
24/05/2020;0,92;0,15;0,66;0,92;1,24
25/05/2020;0,96;0,15;0,68;0,95;1,28
26/05/2020;0,98;0,16;0,70;0,97;1,31
27/05/2020;1,04;0,16;0,75;1,03;1,39
28/05/2020;0,97;0,16;0,69;0,96;1,31
29/05/2020;1,10;0,17;0,80;1,09;1,46
30/05/2020;0,85;0,15;0,58;0,84;1,16
31/05/2020;0,90;0,15;0,63;0,89;1,22
01/06/2020;0,85;0,15;0,58;0,84;1,16
02/06/2020;0,82;0,15;0,55;0,81;1,13
03/06/2020;0,85;0,15;0,57;0,84;1,18
04/06/2020;1,00;0,17;0,70;0,99;1,37
05/06/2020;0,85;0,16;0,57;0,84;1,20
06/06/2020;0,90;0,17;0,60;0,89;1,26
07/06/2020;0,90;0,17;0,60;0,89;1,26
08/06/2020;1,09;0,19;0,75;1,08;1,49
09/06/2020;1,17;0,20;0,82;1,16;1,59
10/06/2020;1,13;0,19;0,78;1,12;1,54
11/06/2020;1,07;0,19;0,74;1,06;1,46
12/06/2020;1,11;0,19;0,77;1,10;1,51
13/06/2020;1,38;0,21;1,00;1,37;1,82
14/06/2020;1,64;0,22;1,23;1,63;2,11
15/06/2020;1,58;0,21;1,19;1,57;2,01
16/06/2020;1,39;0,19;1,05;1,38;1,78
17/06/2020;1,39;0,18;1,06;1,38;1,76
18/06/2020;1,39;0,17;1,08;1,39;1,75
19/06/2020;1,36;0,16;1,05;1,35;1,70
20/06/2020;1,51;0,17;1,20;1,50;1,85
21/06/2020;1,28;0,15;1,00;1,27;1,58
22/06/2020;1,17;0,14;0,91;1,16;1,45
23/06/2020;1,18;0,13;0,94;1,18;1,46
24/06/2020;1,06;0,12;0,83;1,05;1,31
25/06/2020;0,94;0,12;0,73;0,94;1,18
26/06/2020;1,02;0,12;0,80;1,01;1,27
